Age	ID	Sex	Location	AntiGot	Condition	Cost	NeutGot
6.702777778	210	F	Urban	Good	Private	N	Bad
10.375	211	M	Urban	Bad	Public	N	Bad
5.511111111	212	F	Urban	Bad	Private	N	Good
5.5	213	M	Urban	Good	Public	N	Bad
5.5	214	M	Urban	Bad	Private	N	Good
4.5	215	M	Urban	Good	Public	N	Good
4.5	216	F	Urban	Good	Private	N	Good
5.5	217	F	Urban	Good	Public	N	Good
5.552777778	218	M	Urban	Good	Private	N	Good
4.6	219	M	Urban	Good	Public	N	Good
4.5	220	M	Urban	Bad	Private	N	Empty
5.5	221	M	Urban	Good	Public	N	Good
5.547222222	223	F	Urban	Bad	Public	N	Bad
5.5	224	M	Urban	Empty	Private	N	Good
4.5	225	M	Urban	Bad	Public	N	Bad
4.5	226	M	Urban	Good	Private	N	Good
5.5	227	M	Urban	Good	Public	N	Good
5.5	228	F	Urban	Bad	Private	N	Good
5.5	229	M	Urban	Bad	Public	N	Good
4.5	230	F	Urban	Good	Private	N	Good
5.563888889	231	F	Urban	Good	Public	N	Good
5.5	232	M	Urban	Bad	Private	N	Bad
5.5	233	M	Urban	Bad	Public	N	Bad
4.5	234	F	Urban	Good	Public	N	Good
4.5	235	F	Urban	Bad	Private	N	Bad
5.075	236	M	Urban	Good	Private	N	Good
5.463888889	237	F	Urban	Empty	Public	N	Empty
7.5	238	F	Urban	Bad	Private	N	Good
7.5	239	M	Urban	Bad	Public	N	Good
5.822222222	243	M	Urban	Bad	Private	N	Good
6.625	244	F	Urban	Bad	Private	N	Good
6.233333333	245	F	Urban	Bad	Private	N	Good
6.075	246	F	Urban	Good	Private	N	Empty
6.413888889	247	M	Urban	Bad	Private	N	Good
5.969444444	248	F	Urban	Good	Public	N	Empty
8.355555556	249	M	Urban	Good	Public	N	Good
6.177777778	250	F	Urban	Good	Public	N	Bad
6.791666667	251	M	Urban	Bad	Public	N	Good
6.583333333	252	M	Urban	Empty	Public	N	Good
6.425	253	F	Urban	Bad	Public	N	Empty
5.713888889	254	M	Urban	Bad	Public	N	Empty
6.480555556	255	M	Urban	Good	Public	N	Bad
5.986111111	256	F	Urban	Good	Public	N	Bad
6.602777778	257	F	Urban	Empty	Public	N	Good
6.647222222	258	M	Urban	Good	Public	N	Good
6.5	259	F	Urban	Good	Public	N	Bad
6.705555556	264	M	Urban	Bad	Public	N	Good
5.894444444	547	M	Urban	Bad	Private	N	Good
5.775	548	M	Urban	Good	Public	N	Good
6.116666667	549	M	Urban	Good	Private	N	Empty
5.894444444	550	M	Urban	Good	Public	N	Good
6.5	551	F	Urban	Bad	Private	N	Good
6.313888889	552	F	Urban	Empty	Public	N	Good
6.316666667	553	F	Urban	Bad	Private	N	Empty
6.266666667	554	M	Urban	Good	Public	N	Good
6.394444444	555	F	Urban	Bad	Private	N	Good
7.313888889	556	M	Urban	Good	Public	N	Good
6.344444444	557	F	Urban	Bad	Private	N	Good
5.402777778	558	F	Urban	Good	Public	N	Good
5.477777778	559	F	Urban	Empty	Private	N	Good
5.366666667	560	F	Urban	Good	Public	N	Empty
5.002777778	561	M	Urban	Bad	Private	N	Good
5.166666667	562	F	Urban	Empty	Public	N	Good
4.891666667	563	M	Urban	Good	Private	N	Good
4.661111111	564	M	Urban	Good	Public	N	Empty
5.5	565	M	Urban	Bad	Private	N	Good
5.433333333	566	M	Urban	Good	Public	N	Empty
5.7	567	F	Urban	Bad	Private	N	Good
5.780555556	568	F	Urban	Good	Public	N	Empty
6.041666667	569	M	Urban	Bad	Private	N	Good
5.772222222	570	F	Urban	Good	Public	N	Empty
6.5	571	F	Urban	Empty	Private	N	Good
5.733333333	572	M	Urban	Good	Public	N	Good
5.922222222	573	F	Urban	Bad	Private	N	Good
6.5	574	F	Urban	Good	Public	N	Good
6.5	575	F	Urban	Bad	Private	N	Good
6.316666667	576	F	Urban	Good	Public	N	Empty
6.097222222	577	M	Urban	Bad	Private	N	Good
5.677777778	578	M	Urban	Bad	Public	N	Good
5.333333333	579	M	Urban	Good	Private	N	Good
4.566666667	580	F	Urban	Bad	Public	N	Empty
4.5	581	F	Urban	Empty	Private	N	Good
4.5	582	F	Urban	Good	Public	N	Good
